anchor_text,anchor_image,anchor_sound,association_label,association_text,association_image,association_sound,direction,notes_text,notes_image,notes_sound,notes_embed
,http://stechschulte.net/asl/odd.jpg,,,odd,,,,,,,
,http://stechschulte.net/asl/push.jpg,,,push,,,,,,,
,http://stechschulte.net/asl/pull.jpg,,,pull,,,,,,,
,http://stechschulte.net/asl/old.jpg,,,old,,,,,,,
,http://stechschulte.net/asl/mustache.jpg,,,mustache,,,,,,,
,http://stechschulte.net/asl/play.jpg,,,play,,,,,,,
,http://stechschulte.net/asl/dirty.jpg,,,dirty,,,,,,,
,http://stechschulte.net/asl/put_on_hearing_aid.jpg,,,put on hearing aid,,,,,,,
,http://stechschulte.net/asl/oh_gee.jpg,,,oh gee,,,,,,,
,http://stechschulte.net/asl/give_up.jpg,,,give up,,,,,,,
,http://stechschulte.net/asl/these.jpg,,,these,,,,,,,
,http://stechschulte.net/asl/still.jpg,,,still,,,,,,,
,http://stechschulte.net/asl/dumb.jpg,,,dumb,,,,,,,
,http://stechschulte.net/asl/hearing_aid.jpg,,,hearing aid,,,,,,,
,http://stechschulte.net/asl/chubby.jpg,,,chubby,,,,,,,
,http://stechschulte.net/asl/positive.jpg,,,positive,,,,,,,
,http://stechschulte.net/asl/young.jpg,,,young,,,,,,,
,http://stechschulte.net/asl/go_away.jpg,,,go away,,,,,,,
,http://stechschulte.net/asl/that.jpg,,,that,,,,,,,
,http://stechschulte.net/asl/remember.jpg,,,remember,,,,,,,
,http://stechschulte.net/asl/house.jpg,,,house,,,,,,,
,http://stechschulte.net/asl/stupid.jpg,,,stupid,,,,,,,
,http://stechschulte.net/asl/tough.jpg,,,tough,,,,,,,
,http://stechschulte.net/asl/glasses.jpg,,,glasses,,,,,,,
,http://stechschulte.net/asl/new.jpg,,,new,,,,,,,
,http://stechschulte.net/asl/stay.jpg,,,stay,,,,,,,
,http://stechschulte.net/asl/handsome.jpg,,,handsome,,,,,,,
,http://stechschulte.net/asl/look_for.jpg,,,look for,,,,,,,
,http://stechschulte.net/asl/stubborn.jpg,,,stubborn,,,,,,,
,http://stechschulte.net/asl/mischievous.jpg,,,mischievous,,,,,,,
,http://stechschulte.net/asl/forget.jpg,,,forget,,,,,,,
,http://stechschulte.net/asl/weekend.jpg,,,weekend,,,,,,,
,http://stechschulte.net/asl/this.jpg,,,this,,,,,,,
,http://stechschulte.net/asl/crazy.jpg,,,crazy,,,,,,,
,http://stechschulte.net/asl/cruel.jpg,,,cruel,,,,,,,
,http://stechschulte.net/asl/party.jpg,,,party,,,,,,,
,http://stechschulte.net/asl/slip_mind.jpg,,,slip mind,,,,,,,
,http://stechschulte.net/asl/change.jpg,,,change,,,,,,,
,http://stechschulte.net/asl/cute.jpg,,,cute,,,,,,,
,http://stechschulte.net/asl/know_that.jpg,,,know that,,,,,,,
,http://stechschulte.net/asl/know_nothing.jpg,,,know nothing,,,,,,,
,http://stechschulte.net/asl/that_one.jpg,,,that one,,,,,,,
,http://stechschulte.net/asl/put_on_glasses.jpg,,,put on glasses,,,,,,,
